class_ind,class_name,n_images
,abutment_arch,230
,abutter,378
,aby_moritz_warburg,1
,aby_warburg,368
,abydos,1673
,abyla,171
,abysm,253
,abyss,2140
,abyssal_zone,114
,abyssinia,1365
,abyssinian,1781
,abyssinian_banana,147
,abyssinian_cat,1723
,ac,2252
,acacia,2041
,acacia_auriculiformis,156
,acacia_cambegei,0
,acacia_catechu,215
,acacia_dealbata,986
,acacia_farnesiana,402
,acacia_melanoxylon,515
,acacia_pycnantha,201
,acacia_xanthophloea,110
,academic,2699
,academic_administrator,1247
,academic_costume,306
,academic_gown,729
,academic_robe,325
,academician,1326
,academy,2235
,acadia,2276
,acadia_national_park,1884
,acadian,1752
,acalypha_virginica,117
,acanthion,19
,acanthisitta_chloris,50
,acanthocephalan,54
,acanthocereus_pentagonus,22
,acanthocereus_tetragonus,41
,acanthocybium_solandri,212
,acanthocyte,68
,acanthophis_antarcticus,164
,acanthopterygian,2
,acanthoscelides_obtectus,185
,acanthurus_chirurgus,76
,acanthus,1633
,acanthus_mollis,812
,acapulco,2390
,acapulco_de_juarez,317
,acapulco_gold,871
,acaracide,6
,acaricide,507
,acarid,139
,acarine,107
,acaroid_resin,4
,acarus,369
,acaryote,1
,accaroid_resin,1
,accelerator,2208
,accelerator_factor,156
,accelerator_pedal,1286
,accelerometer,1350
,accentor,926
,acceptor,1439
,acceptor_rna,39
,access,2208
,access_road,1397
,accessary,1819
,accession,1801
,accessory,2142
,accessory_after_the_fact,76
,accessory_before_the_fact,22
,accessory_cephalic_vein,4
,accessory_during_the_fact,19
,accessory_fruit,519
,accessory_hemiazygos_vein,4
,accessory_hemiazygous_vein,2
,accessory_nerve,300
,accessory_vertebral_vein,0
,accho,133
,accidence,552
,accident_surgery,983
,accipiter_cooperii,549
,accipiter_gentilis,1097
,accipiter_nisus,1183
,accipitriformes,495
,acclimation,1627
,acclimatisation,862
,acclimatization,1752
,acclivity,280
,accommodation,2243
,accommodation_endorser,3
,accommodation_ladder,195
,accommodation_reflex,35
,accommodator,765
,accompanist,1435
,accompanying_vein,30
,accompanyist,62
,accomplice,1769
,accordion,1918
,accordion_door,408
,accordionist,1651
,accouchement,1689
,accoucheur,329
,accoucheuse,88
,account_executive,1557
,account_representative,1344
,accountant,1524
,accounting_principle,322
,accounting_standard,970
,accouterment,763
,accoutrement,1248
,accra,2377
,accretion,1161
,accroides,2
,accroides_gum,2
,accroides_resin,1
,acculturation,956
,accumulation,2100
,accumulator,1360
,accumulator_register,115
,accusative,718
,accusative_case,73
,accused,1436
,accuser,1805
,ace,2243
,ace_inhibitor,744
,ace_of_clubs,1624
,ace_of_diamonds,1576
,ace_of_hearts,1336
,ace_of_spades,1405
,acebutolol,161
,acellular_slime_mold,17
,acentric_chromosome,16
,acer_argutum,65
,acer_campestre,1271
,acer_circinatum,557
,acer_glabrum,248
,acer_japonicum,907
,acer_macrophyllum,917
,acer_negundo,1286
,acer_negundo_californicum,31
,acer_palmatum,1541
,acer_pennsylvanicum,66
,acer_platanoides,1277
,acer_pseudoplatanus,1185
,acer_rubrum,1234
,acer_saccharinum,1188
,acer_saccharum,1281
,acer_spicatum,303
,acerate_leaf,37
,acerola,1397
,acervulus,92
,acetabulum,1124
,acetal,1828
,acetaldehyde,905
,acetaldol,3
,acetamide,846
,acetaminophen,1342
,acetanilid,44
,acetanilide,233
,acetate,1901
,acetate_disk,109
,acetate_rayon,939
,acetic_acid,1456
,acetic_anhydride,482
,acetin,47
,acetoacetic_acid,73
,acetone,1308
,acetone_body,73
,acetophenetidin,5
,acetphenetidin,1
,acetum,433
,acetyl,1274
,acetyl_chloride,178
,acetyl_group,190
,acetyl_radical,30
,acetylation,745
,acetylcholine,1256
,acetylene,1465
,acetylsalicylic_acid,480
,achaean,612
,achaian,95
,achene,1451
,acheron,1475
,acherontia_atropos,573
,acheson,1410
,acheson_process,27
,acheta_assimilis,24
,acheta_domestica,241
,achiever,1869
,achille_ratti,114
,achillea,1525
,achillea_millefolium,1172
,achillea_ptarmica,801
,achilles_tendon,1242
,achimenes,654
,achira,401
,achmad_sukarno,12
,achoerodus_gouldii,14
,achomawi,131
,achondrite,729
,achras_zapota,78
,achromatic_lens,580
,achromatin,2
,achromycin,47
,acicula,309
,acid,2395
,acid-base_balance,339
,acid-base_equilibrium,176
,acid-base_indicator,184
,acid_anhydrides,208
,acid_dye,1196
,acid_halide,176
,acid_head,1030
,acid_hydrogen,1286
,acidic_hydrogen,229
,acidification,1341
,acidophil,84
,acidophile,165
,acidophilus_milk,297
,acinonyx_jubatus,1273
,acinos_arvensis,97
,acinus,523
,acipenser_huso,32
,acipenser_transmontanus,163
,ack-ack,1669
,ack-ack_gun,216
,ackee,1172
,aclinic_line,9
,acme,2076
,acocanthera_oblongifolia,0
,acocanthera_oppositifolia,3
,acocanthera_spectabilis,3
,acocanthera_venenata,0
,acolyte,1321
,aconcagua,2222
,aconite,1379
,aconitum_lycoctonum,323
,aconitum_napellus,1117
,acores,2255
,acorn,2069
,acorn_barnacle,272
,acorn_cup,595
,acorn_squash,1160
,acorn_tube,196
,acorus_calamus,1084
,acoustic,2626
,acoustic_delay_line,76
,acoustic_device,847
,acoustic_gramophone,65
,acoustic_guitar,1938
,acoustic_impedance,715
,acoustic_meatus,71
,acoustic_modem,398
,acoustic_nerve,308
,acoustic_phenomenon,171
,acoustic_projection,389
,acoustic_radiation_pressure,52
,acoustic_reactance,7
,acoustic_resistance,322
,acoustic_storage,353
,acoustician,297
,acoustics,1978
,acquaintance,2027
,acquired_reflex,23
,acquirer,1061
,acragas,253
,acre,2293
,acres,2266
,acridid,50
,acridotheres_tristis,447
,acrilan,416
,acris_crepitans,335
,acris_gryllus,140
,acrobat,2589
,acrocarp,17
,acrocarpous_moss,25
,acrocarpus_fraxinifolius,431
,acrocentric_chromosome,46
,acrocephalus_schoenobaenus,536
,acroclinium_roseum,42
,acrocomia_aculeata,172
,acrocomia_vinifera,15
,acrodont,27
,acrogen,20
,acrolein,633
,acromial_process,24
,acromion,1048
,acropolis,2361
,acrosome,716
,acrostichum_aureum,114
,acrylamide,1167
,acrylate,1356
,acrylate_resin,246
,acrylic,2514
,acrylic_acid,1326
,acrylic_fiber,1334
,acrylic_paint,1654
,acrylic_resin,1651
,acrylonitrile,954
,acrylonitrile-butadiene-styrene,371
,actaea_alba,104
,actaea_rubra,502
,acth,1302
,actias_luna,844
,actifed,350
,actin,1771
,acting,2036
,actinia,953
,actinian,10
,actiniarian,2
,actinic_radiation,45
,actinic_ray,7
,actinidia_arguta,411
,actinidia_chinensis,525
,actinidia_deliciosa,242
,actinidia_polygama,174
,actinium,555
,actinolite,1086
,actinomeris_alternifolia,50
,actinometer,65
,actinomyces,518
,actinomycete,152
,actinomycin,241
,actinomyxidian,0
,actinopod,17
,actinozoa,29
,actinozoan,0
,action,2640
,action_mechanism,1463
,action_officer,1881
,action_plant,1473
,actitis_hypoleucos,679
,actitis_macularia,539
,actium,1087
,activase,152
,activated_carbon,1397
,activated_charcoal,1286
,activating_agent,112
,activation,1474
,activation_energy,1206
,activator,1686
,active,2191
,active_agent,1179
,active_birth,1004
,active_citizen,1107
,active_matrix_screen,788
,active_placebo,137
,active_site,1395
,active_transport,1268
,activewear,1446
,activism,1906
,activist,1777
,activity,2229
,actomyosin,113
,actor,2139
,actors_agent,1133
,actors_assistant,343
,actress,2082
,actuary,1738
,actuator,1684
,acular,398
,aculea,28
,aculeus,635
,acumen,1655
,acuminate_leaf,197
,acute_angle,1340
,acyclovir,1044
,acyl,1377
,acyl_anhydrides,68
,acyl_group,170
,acyl_halide,81
,acylation,652
,acylglycerol,72
,ada,2393
,adad,1815
,adagio,2168
,adalia,1292
,adalia_bipunctata,656
,adam,2707
,adam-and-eve,1617
,adam_baldwin,1724
,adam_brody,1659
,adam_lake,1934
,adam_smith,2150
,adam_west,1902
,adam_wylie,764
,adamant,1683
,adamari_lpez,17
,adams,2183
,adams_apple,1753
,adams_needle,253
,adams_needle-and-thread,0
,adams_peak,1430
,adana,1980
,adansonia_digitata,980
,adansonia_gregorii,58
,adapa,312
,adapin,37
,adaptation,1496
,adapter,2970
,adaption,1626
,adaptive_radiation,570
,adaptor,2137
,add-in,1657
,add-on,2377
,addax,1176
,addax_nasomaculatus,173
,adder,1536
,adders_fern,99
,adders_tongue,367
,adders_tongue_fern,88
,addict,1993
,adding_machine,1292
,addis_ababa,2203
,addition,2097
,addition_reaction,1305
,additive,1932
,addle-head,26
,addlehead,19
,address,2171
,addressee,1417
,addressing_machine,491
,addressograph,757
,adducer,1
,adduct,1057
,adductor,1162
,adductor_muscle,509
,ade,2341
,adelaide,2209
,adele_jergens,595
,adele_mara,585
,adelges_abietis,55
,adelges_piceae,123
,adelgid,1034
,adelie,1806
,adelie_coast,103
,adelie_land,187
,adelie_penguin,1232
,adeline_virginia_stephen_woolf,117
,aden,2464
,adenanthera_pavonina,102
,adenauer,1255
,adenine,1471
,adenium_multiflorum,149
,adenium_obesum,1170
,adenohypophysis,167
,adenoid,972
,adenosine,1312
,adenosine_deaminase,299
,adenosine_diphosphate,161
,adenosine_monophosphate,362
,adenosine_triphosphate,719
,adenota_vardoni,1
,adenovirus,1163
,adenylic_acid,43
,adept,1501
,ader_wax,1
,adermin,17
,adh,2036
,adherent,2026
,adhesion,1995
,adhesive,1741
,adhesive_agent,407
,adhesive_bandage,1306
,adhesive_friction,184
,adhesive_material,1272
,adhesive_plaster,764
,adhesive_tape,1364
,adiabatic_process,228
,adiantum_bellum,2
,adiantum_capillus-veneris,450
,adiantum_pedatum,994
,adiantum_tenerum,91
,adiantum_tenerum_farleyense,13
,adige,2034
,adipic_acid,305
,adipose_cell,166
,adipose_tissue,1325
,adirondack_mountains,1987
,adirondacks,1913
,adit,1525
,aditi,1930
,aditya,2389
,adjoining_room,1574
,adjudicator,1466
,adjunct,1549
,adjustable_spanner,1028
,adjustable_wrench,1415
,adjuster,1437
,adjustment,1633
,adjustor,901
,adjutant,1476
,adjutant_bird,70
,adjutant_general,1690
,adjutant_stork,136
,adjuvant,1493
,adlai_ewing_stevenson,60
,adlai_stevenson,1245
,adlumia_fungosa,99
,adman,1802
,administrative_data_processing,311
,administrative_district,1274
,administrative_division,1195
,administrative_official,910
,administrator,2055
,admiral,2574
,admiral_byrd,1033
,admiral_dewey,801
,admiral_nelson,1300
,admiral_nimitz,1007
,admiralty_brass,111
,admiralty_island,1223
,admiralty_islands,1153
,admiralty_metal,46
,admiralty_range,91
,admirer,1905
,admittance,1735
,admixture,1234
,admonisher,57
,adnexa,578
,adobe,2033
,adobe_brick,1029
,adobe_house,1627
,adobe_lily,268
,adobo,1528
,adolescent,1697
,adolf_eichmann,922
,adolf_hitler,1746
,adolf_loos,1173
,adolf_windaus,52
,adolfo_celi,963
,adolph_simon_ochs,9
,adolphe_menjou,1014
,adolphe_sax,946
,adonis,1933
,adonis_annua,157
,adoptee,1545
,adopter,2122
,adoptive_parent,1110
,adorer,1331
,adornment,2054
,adp,2252
,adp_system,623
,adps,1073
,adrenal,1415
,adrenal_cortex,899
,adrenal_cortical_steroid,5
,adrenal_gland,1357
,adrenal_medulla,548
,adrenalin,1922
,adrenaline,2488
,adrenergic,1213
,adrenergic_drug,224
,adrenocorticotrophic_hormone,40
,adrenocorticotrophin,23
,adrenocorticotropic_hormone,80
,adrenocorticotropin,41
,adrenosterone,5
,adrian,2185
,adrian_lester,1026
,adrian_paul,1703
,adriano_celentano,1606
,adrianople,329
,adrianopolis,300
,adriatic,2605
,adriatic_sea,1776
,adrien_brody,1677
,adrienne_ames,541
,adrienne_corri,650
,adsorbate,430
,adsorbent,1091
,adsorbent_material,57
,adsorption,1424
,adsuki_bean,3
,adulator,72
,adult,2230
,adult_body,1688
,adult_female,1958
,adult_female_body,941
,adult_male,1963
,adult_male_body,767
,adult_tooth,681
,adulterant,280
,adulterator,103
,adulterer,435
,adulteress,445
,adultery,1492
,adumbration,109
,advancer,1475
,advection,1356
,adventism,1086
,adventist,1979
,adventitia,628
,adventitious_root,224
,adventurer,1936
,adventuress,1203
,adversary,1358
,adverse_witness,22
,advertiser,1587
,advertizer,758
,advil,1333
,advisee,902
,adviser,2040
,advisor,2115
,advocate,2375
,advocator,281
,advowson,46
,adz,1950
,adze,1618
,adzhar,204
,adzharia,187
,adzuki_bean,237
,aeciospore,35
,aecium,64
,aedes_aegypti,1072
,aedes_albopictus,692
,aegadean_islands,4
,aegadean_isles,0
,aegates,60
,aegean,2515
,aegean_island,1890
,aegean_sea,2180
,aegiceras_majus,0
,aegilops_triuncalis,3
,aegina,2228
,aegis,1790
,aegospotami,10
,aegospotamos,1
,aegypiidae,4
,aegypius_monachus,513
,aegyptopithecus,94
,aelfred,114
,aelius_donatus,23
,aeneas_silvius,47
,aengus,1897
,aeolia,239
,aeolian,1714
,aeolian_harp,500
,aeolian_lyre,11
,aeolis,846
,aeolus,1613
,aeon,1464
,aeonium_haworthii,163
,aepyceros_melampus,617
,aepyornis,361
,aeration,1679
,aerator,1324
,aerial,2216
,aerial_ladder,1454
,aerial_ladder_truck,1143
,aerial_torpedo,276
,aerial_tramway,1477
,aerialist,1305
,aerides,1435
,aerie,1383
,aerobe,1121
,aerobiosis,15
,aerodrome,2114
,aerodynamic_force,390
,aerodynamic_lift,583
,aerodynamics,1493
,aerofoil,1161
,aerogenerator,73
,aerogram,395
,aerogramme,1137
,aerolite,1436
,aerology,283
,aeromechanics,131
,aeromedicine,87
,aeronaut,1402
,aeronautical_engineer,1050
,aeronautical_engineering,1218
,aeronautics,2099
,aerophagia,30
,aerophile,724
,aerophyte,15
,aeroplane,1895
,aerosol,2324
,aerosol_bomb,117
,aerosol_can,1424
,aerosol_container,323
,aerospace,2567
,aerospace_engineer,1329
,aerospace_medicine,1080
,aertex,362
,aery,1176
,aeschylus,1190
,aeschynanthus,789
,aeschynanthus_radicans,156
,aesculapius,981
,aesculus_hippocastanum,1214
,aesir,1116
,aesop,1798
,aesthete,1621
,aesthetic,1934
,aesthetician,1309
,aesthetics,2152
,aether,1453
,aethusa_cynapium,273
,aetiologist,0
,aetiology,876
,aetobatus_narinari,400
,afars_and_issas,306
,affenpinscher,1041
,afferent,1354
,afferent_nerve,153
,afferent_neuron,110
,affiant,81
,affiliate,2388
,affine,1327
,affine_geometry,225
,affinity,1994
,affirmed,1287
,affirmer,1422
,afflatus,477
,affluent,1344
,afghan,2699
,afghan_hound,1950
,afghanistan,2005
,afghanistani,295
,aficionado,1812
,aflatoxin,1219
,aflaxen,1
,afp,2384
,aframomum_melegueta,36
,africa,2641
,african,2213
,african-american,2104
,african_american,2743
,african_bowstring_hemp,1
,african_chameleon,477
,african_clawed_frog,750
,african_coral_snake,32
,african_country,1595
,african_crocodile,1185
,african_daisy,1949
,african_elephant,1875
,african_gray,1759
,african_green_monkey,237
,african_grey,2233
,african_hemp,276
,african_holly,498
,african_hunting_dog,444
,african_lily,1435
,african_love_grass,79
,african_mahogany,1211
,african_marigold,548
,african_millet,161
,african_monitor,585
,african_nation,1480
,african_oil_palm,288
,african_sandalwood,125
,african_scented_mahogany,0
,african_tea,1435
,african_tulip,850
,african_violet,2259
,african_walnut,870
,african_wild_ass,144
,african_yellowwood,105
,africander,74
,africanized_bee,913
,africanized_honey_bee,489
,afrikander,154
,afrikaner,1438
,afro,2104
,afro-american,1860
,afro-wig,989
,afro_hairdo,141
,afrocarpus_falcata,12
,afropavo,100
,afropavo_congensis,79
,after-shave,2132
,after-shave_lotion,1043
,after_part,2130
,afterbirth,1116
,afterburner,2256
,afterdamp,50
,afterdeck,790
,aftereffect,873
,afterglow,1716
,afterimage,1112
,aftermath,2037
,afternoon_tea,1912
,afterpiece,25
,afters,1902
,aftersensation,6
,aftershaft,36
,aftershock,1377
,aftertaste,1372
,afterthought,1656
,ag,2266
,agal,1538
,agama,1423
,agamete,2
,agamid,645
,agamid_lizard,87
,agamogenesis,2
,agapanthus,2149
,agapanthus_africanus,706
,agar,1739
,agar-agar,1435
,agaric,1854
,agaricus_arvensis,476
,agaricus_campestris,608
,agassiz,2270
,agastache_foeniculum,735
,agastache_mexicana,97
,agastache_nepetoides,102
,agate,2516
,agateware,290
,agatha_christie,1467
,agathis_alba,7
,agathis_australis,228
,agathis_dammara,46
,agathis_lanceolata,20
,agathis_robusta,110
,agave,2555
,agave_americana,1310
,agave_atrovirens,52
,agave_cantala,15
,agave_sisalana,307
,agave_tequilana,211
,agdistis,55
,agee,1330
,ageing,1657
,agelaius_phoeniceus,1096
,agenda,2205
,agene,808
,agenesia,498
,agenesis,751
,agent,2139
,agent-in-place,275
,agent_orange,1769
,agent_provocateur,1412
,ageratina_altissima,80
,ageratum,1275
,ageratum_houstonianum,832
,aggeus,27
,agglomerate,1188
,agglomerator,370
,agglutinating_activity,1
,agglutination,1151
,agglutinin,264
,agglutinogen,8
,aggravator,175
,aggregate,1789
,aggregate_fruit,296
,aggregator,1794
,aggressor,1478
,aging,2037
,agitator,1201
,agkistrodon_contortrix,867
,agkistrodon_piscivorus,591
,aglaia,1233
,aglaomorpha_meyeniana,23
,aglaonema_modestum,82
,aglet,873
,agnail,13
,agnate,45
,agnathan,65
,agnes_ayres,544
,agnes_de_mille,482
,agnes_george_de_mille,41
,agnes_gonxha_bojaxhiu,206
,agnes_moorehead,1306
,agni,1638
,agnostic,1672
,agnosticism,891
,agonic_line,9
,agonist,1545
,agonus_cataphractus,101
,agony_aunt,1042
,agony_column,893
,agora,1860
,agostina_belli,588
,agouti,1864
,agra,2800
,agricola,1544
,agricultural_agent,993
,agricultural_laborer,202
,agricultural_labourer,177
,agriculturalist,479
,agriculture_secretary,1367
,agriculturist,1143
,agrigento,2053
,agrimonia,1086
,agrimonia_eupatoria,993
,agrimonia_procera,120
,agrimony,1159
,agriocharis_ocellata,71
,agrippa,1296
,agrippina,1183
,agrippina_the_elder,77
,agrippina_the_younger,125
,agrobiology,122
,agrology,97
,agronomist,1039
,agronomy,1299
,agropyron_cristatum,171
,agropyron_intermedium,34
,agropyron_pauciflorum,5
,agropyron_repens,400
,agropyron_smithii,78
,agropyron_subsecundum,7
,agropyron_trachycaulum,23
,agrostemma_githago,623
,agrostis_alba,84
,agrostis_canina,84
,agrostis_nebulosa,26
,agrostis_palustris,62
,agua,2375
,agua_toad,5
,aguacate,1581
,ague_grass,14
,ague_root,16
,ague_weed,12
,agueweed,29
,agust_von_wassermann,0
,ahab,1748
,ahimsa,1370
,ahmad_shah_masoud,69
,ahmed_salman_rushdie,36
,ahmed_zoki_yamani,0
,ahriman,1063
,ahuehuete,266
,ahura,1131
,ahura_mazda,948
,ahvenanmaa,1182
,ai,2239
,aid_station,1341
,aidan_quinn,1581
,aide,2665
,aide-de-camp,1025
,aides,1632
,aidoneus,60
,aigina,1391
,aiglet,192
,aigret,154
,aigrette,1719
,aiguilette,55
,aiken,1968
,ail,1661
,ailanthus,1176
,ailanthus_altissima,1091
,ailanthus_silkworm,2
,aileen_pringle,511
,aileron,1428
,ailey,1515
,ailuropoda_melanoleuca,945
,ailurus_fulgens,694
,aim,2598
,aimee_semple_mcpherson,469
,aioli,1429
,aioli_sauce,408
,air,3127
,air-intake,1572
,air-raid_shelter,1114
,air-to-air_missile,1158
,air-to-ground_missile,182
,air-to-surface_missile,528
,air_attache,867
,air_bag,1999
,air_base,2000
,air_bladder,772
,air_cell,1728
,air_cleaner,1558
,air_compressor,1869
,air_conditioner,2080
,air_conditioning,1991
,air_current,1387
,air_cushion,1860
,air_duct,1462
,air_filter,1925
,air_force_officer,1883
,air_gas,1322
,air_gun,1389
,air_hammer,1362
,air_hole,1793
,air_horn,1724
,air_hose,1493
,air_hostess,1164
,air_jacket,1327
,air_lane,1377
,air_letter,1505
,air_lock,1844
,air_marshal,1318
,air_mass,1394
,air_mattress,1454
,air_passage,1308
,air_plant,2115
,air_pocket,1425
,air_potato,1022
,air_pressure,1972
,air_pump,2013
,air_rifle,1487
,air_sac,1246
,air_search_radar,1054
,air_shaft,1534
,air_space,2276
,air_spring,1520
,air_station,1911
,air_terminal,1712
,air_thermometer,1015
,air_transportation_system,836
,air_traveler,1184
,air_traveller,969
,air_well,2200
,airborne_transmission,279
,airbrake,1186
,airbrush,2561
,airbus,2044
,aircraft,2189
,aircraft_carrier,1822
,aircraft_engine,1452
,aircraftman,571
,aircraftsman,284
,aircrewman,596
,airdock,233
,airdrome,935
,aire,2118
,aire_river,1290
,airedale,2337
,airedale_terrier,1598
,airfield,2231
,airfoil,1489
,airframe,1486
,airgun,1572
,airhead,1872
,airing_cupboard,1192
,airline,2077
,airliner,1888
,airlock,1372
,airmail_letter,372
,airmailer,323
,airman,1887
,airplane,1866
,airplane_pilot,1474
,airplane_propeller,1444
,airport,2255
,airport_terminal,1594
,airs,2119
,airscrew,733
,airship,2283
,airspace,2039
,airstream,1950
,airstrip,1644
,airway,1596
,airwoman,131
,aishwarya_rai,1854
,aisle,2092
,aitchbone,25
,aix-la-chapelle,1617
,aix_galericulata,1109
,aix_sponsa,1079
,ajaia_ajaja,677
,ajuga_chamaepitys,139
,ajuga_genevensis,227
,ajuga_pyramidalis,353
,ajuga_reptans,1362
,ak,2845
,akaba,1229
,akaryocyte,0
,akaryote,0
,akee,1034
,akee_tree,38
,aken,1880
,akhenaten,1132
,akhenaton,1217
,akira_kurosawa,1248
,akka,1889
,akko,2445
,akmola,220
,akron,2027
,akvavit,829
,akwaala,2
,al,2626
,al-hakim,1176
,al-hasan_ibn_al-haytham,39
,al-haytham,160
,al-hudaydah,58
,al-iraq,840
,al-magrib,271
,al-mukalla,312
,al_aqabah,84
,al_capone,2124
,al_gore,2221
,al_hirschfeld,810
,al_hodge,738
,al_jolson,1006
,al_ladhiqiyah,31
,al_madinah,994
,al_pacino,1884
,al_qahira,764
,ala,2542
,alabama,2494
,alabama_lip_fern,12
,alabama_river,1321
,alabaman,331
,alabamian,839
,alabaster,2126
,aladdins_lamp,696
,alain_delon,1730
,alan_alda,1554
,alan_alexander_milne,329
,alan_arkin,1687
,alan_autry,683
,alan_bartlett_shepard_jr.,135
,alan_bates,1686
,alan_beckwith,561
,alan_carney,598
,alan_cumming,1681
,alan_curtis,1699
,alan_davies,1686
,"alan_hale,_jr.",768
,alan_hodgkin,152
,alan_jay_lerner,595
,alan_king,1759
,alan_mathison_turing,270
,alan_napier,859
,alan_paton,562
,alan_rickman,1597
,alan_ruck,1089
,alan_seeger,395
,alan_shepard,1171
,alan_stewart_paton,29
,alan_turing,915
,alan_van_sprang,540
,aland_islands,1026
,alanine,1413
,alanna_ubach,885
,alar,1542
,alaric,1371
,alarm,2115
,alarm_clock,1793
,alarm_system,1890
,alarmist,1149
,alaska,2173
,alaska_cedar,1000
,alaska_cod,1149
,alaska_crab,1272
,alaska_fur_seal,298
,alaska_king_crab,1016
,alaska_native,1446
,alaska_peninsula,1842
,alaska_range,1838
,alaska_rein_orchid,21
,alaskan,2402
,alaskan_brown_bear,1077
,alaskan_king_crab,744
,alaskan_malamute,1644
,alaskan_native,1727
,alaskan_pipeline,1047
,alastair_sim,804
,alauda_arvensis,942
,alb,1469
,albacore,1818
,alban_berg,1166
,albania,1809
,albanian,1532
,albanian_capital,182
,albany,2588
,albatrellus_dispansus,9
,albatrellus_ovinus,113
,albatross,2259
,albee,1421
,alben_barkley,353
,alben_william_barkley,40
,albers,1698
,albert,2198
,albert_abraham_michelson,222
,albert_basserman,253
,albert_brooks,1464
,albert_bruce_sabin,41
,albert_camus,1172
,albert_dieudonn,57
,albert_edward,1710
,albert_einstein,1711
,albert_finney,1464
